Question Text,Option 1 Text,Option 2 Text,Option 3 Text,Option 4 Text Answer
A therapist supervising a physical therapy student observes the student performing an initial evaluation. During the evaluation the patient appears to be uncomfortable with the student and asks to be treated by the supervising therapist. The most appropriate therapist action is to         ,Attempt to convince the patient to accept the student,Transfer the them to another therapist,Assure them the student is qualified to assess,Complete the evaluation for the student
A therapist has been confided by a patient that they have been physically abused by their partner in the past and is going home following discharge. The most appropriate therapist action is to,Inform the police,Inform the patient that this is beyond your scope of practice,Inform the attending physician,Inform the patient's social worker
A therapist is treating a patient in a cardiac rehabilitation program. As such they are monitoring the patient's oxygen saturation rate. Which of the following is most appropriate for the patient,88%,90%,98%,95%
A therapist is treating a patient in a pulmonary rehabilitation program. As such they are monitoring the patient's oxygen saturation rate. Which of the following is most appropriate for the patient,86%,95%,98%,90%
A therapist is treating a patient at their home post-operatively from thoracic surgery. However the patient's partner is doubtful regarding the utility of the exercise program and wants the patient to rest. The most appropriate action for the therapist is to,Reformat the exercise program to address the partner's concern of rest,Transfer the patient to another therapist,Kindly inform the spouse to leave the room during their treatment,Educate the patient and partner on the importance of early physiotherapy after surgery
A patient is recovering from home following a total hip arthroplasty and is receiving physiotherapy. They are full weightbearing and accessing stairs independently. Their current goal is to walk approximately 3 kilometers a day. The most appropriate treatment plan is_____?,Refer the patient to a private physiotherapy clinic,Continue post total hip arthroplasty rehabilitation,Refer the patient to inpatient rehabilitation,Design a home exercise program on progressive ambulation
"You complete a gait analysis of a patient rehabilitating from a tibial plateau fracture. What term is not appropriate with the stance phase of the gait cycle?
",Heel strike,Loading Response,Midstance,Vertical Loading Rate
You are treating a patient that is diagnosed with dysdiadochonkinesia. What test do you expect to be the most difficult for the patient?,Functional Reach,Timed Up and Go,Alternating finger to nose,Turning a door knob
You are treating a patient that is diagnosed with a cerebellar tumor. What test do you expect to be the most difficult for the patient?,Functional Reach,Timed Up and Go,Turning a door knob,Alternating finger to nose
You are treating a patient that is diagnosed with a Parkinson's Disease. What test do you expect to be the most difficult for the patient?,Functional Reach,Alternating finger to nose,Turning a door knob,Timed Up and Go
You are assessing the integrity of the L3-4 spinal level. Which deep tendon reflex would be the most appropriate?,Proximal Hamstrings,Iliopsoas,Achilles Tendon,Patellar Tendon
You are assessing the integrity of the L5-S1 spinal level. Which deep tendon reflex would be the most appropriate?,Lateral Hamstring ,Iliopsoas,Patellar Tendon,Achilles Tendon
"A patient rehabilitating from a total knee arthroplasty and requires assistance with tub transfers using a tub bench. You are scheduled to treat the patient three times a week, but there is a six day waiting period for occupational therapy. The most appropriate thing to do would be?",Wait until occupational therapy arrives,Provide the patient with information on transfers on the tub,Ask another therapist to help with a two person transfer,Practice tub transfers in therapy
The orthopedic surgeon instructs a patient to be non-weightbearing for 2 weeks after a menisectomy. The patient informs you that they have not followed the surgeon's orders. The most immediate action is to?,Inform the patient's insurance,Inform the orthopedic surgeon,Inform the attending physician,Inform the patient of the consequences of not following the restrictions
"During rehab, the patient falls onto a piece of equipment resulting in a deep laceration on the calf. The therapist is providing direct pressure to the area and elevation but the patient continues to bleed. The next step is to?",Pack the laceration site with gauze,Apply a torniquet to the calf,Provide pressure to the peroneal artery pressure point,Provide pressure to the femoral artery pressure point
A therapist is providing education for pregnant mothers on the risks of maternal substance abuse. Which is not a complication of cigarette smoking?,Increased risk of low birth weight,Increased risk of neonatal respiratory distress syndrome,Increased risk of sudden infant death syndrome,Increased risk of placenta previa
A 50 year old male involved in a phase II cardiac rehabilitation program refuses to take part of the group exercises. The most appropriate action is to?,Inform the patient's insurance,Inform the attending physician,Inquire if the patient understands the risks of not exercising,Inquire why the patient is not participating
